not peddle such qstsns plzyou arent helping modinda such divisive questionsneither are doing the nation any good you assume many things that qstnpoltcl immaturitybad coz are associated with bjp encourage votes for modi frm every sect,1
what you have say about modi refusing wear skull cap the called face democracy the refuses democratic and here you are crying foul citizen,-1
wha modi,0
vote only modi ,0
now even modi supporters are getting slippers tejeswi mummy bula rahi hai promise today ,0
not modi that will speak any nonsense,0
modi extremist win election india but never won pakistan,1
shri @ @ crores indian people supports modi ,0
east many seats fight close and modis intensive rallies can change the final result ,1
but modi dont care,0
tomorrow public maharashtra andhrapradesh telangana will face april fool jhoot jumla brainwash from modi,0
participated the “main bhi chowkidar“ program held day which hon’ble prime minister india shri narendra modi interacted with thousands people across the nation hon’ble bjp state president shri kanna lakshmi narayana attended the event  ,1
yes your home phd fcuking your mother  ,0
bjp would tripura odisha surprise country narendra modi shared via zeenews,0
will support modi then why blame cong for not falling for this gathbandhan,0
now that the incumbent govt did fact respond not just effectively but manner that has reaffirmed india’ strength the global map being denounced for using pakistan means garner votes ironic how people refuse see the truth for what ,1
lalu convicted person eye never but culture different address honble just modi convit with due respect now specific any the corruption with authencity modiji can challenge cant either biased journalist dynast slave ,-1
today also have shri kamaraj nadar the name shri narendra modi please support bjp will the justice show our gratitude shri kamaraj who came out congress due ill treatment ,-1
people indiaeven bacha bacha now knows very well whom not vote they love india you people please dont work hard advertise this cause ,1
have ever seen wearing lac suit his own name  ,1
dear today you have dared modi for debate but please tell that you wont run away when asked tough questions students ,-1
india todays antifake news war room has found that the viral claim misleading such list has ever been released the far ,1
"why taking negative way she good person modi was tea seller was written his destiny that tea seller will become think positive",1
now confirmed modi supporter ☺☺☺,1
idiot first priyanka should see how she can win against graft done her mother brother husband and herself public know everything traitors like you are exception and have strength beat modi jee any stage not only election,1
think baby convinced her parents vote for modi,0
but you called him darpok modi was for years aint starting nigga,0
did the child say modi ,0
when narender modi contested two seats was not member parliament anytime but rahul pappu gandhi member parliament two times from amethi contesting two seats because saw difficult fool amethi people anymore bhag rahul bhag,-1
how can illetreate clown narinder modi ever sensible debating all this shameless wretch narinder modi can speak lies and spread rumorswhy dont you come for debate mamata banerjee dares rally ndtv ,0
will request bjps sister organisations not support modi shah mamata banerjee ,0
capture south will full swing between @p@ only condition modi forms government his own,1
playing with the insecurities the people with credible opposition leader tina factor opposition partyalliance seems promising realistically stable better government which again goes favour modi but then doubt that mass vote this,1
jha@ji forgets the real indian dream and democracy when narendra modi man who came from nothing wins over the whole country and gets elected the prime minister with thumping majority will again ,1
modi decimates congress front crores congress head shares funny videos and memes congress loses elections congress head evms were hacked ,-1
never seen duffer person like you want modi not vasundhra you remember what loksabha and what vidhansabha,0
great alliance motive only stop modi from power agenda narrative one point program dislodge honest dedicated visionary true nationalist leader,1
did some people say modi looking defensive these days  ,0
well spoke all about the evils “communism” “hindutva” but some fool issues notice stating that book excommunist’ manifesto” modi’ policy centric text read book expose yet another lies left ,0
azamgarh please poor working requirement jogiadhiyanath and narendar modi office delhi,-1
case dont look candidate then that case person like manmohan singh with support thug parties will become then what will happen our country once again another aap will arise after years corruption and losses vote for modi bharat mata jay,0
objective cover everything from akhlaq ramalingam question modi and rahul alike people will like you also please dont debate with @ people panel shouldnt more than including the anchor best luck,1
raga knows dat wont spared modi courts for his cheating corruption dat wants modi out power hook crook setting wid pak china bcoz dis only word gaddar,1
congress veteran sudhakar reddy joins bjp after meeting modi ,0
engine growth modi unveils indias first @ electric locomotive bihar ,1
modi promised @ lok sabha elections that best orop will given the soldiers india but the orop given much less than the promised fact soldiers are cheated sadly goudi media joining hands with the government speaking lies about orop ,1
save your agenda peddling ’ had with terror attacks every second day with maun mohan keeping “stoic” silence and india being made mockery whatever you can keep trying modi coming back with thumping majority and the time you darbaris are numbered,0
why these @ crores paid neerav modi not recovered from congress leaders this hard earned money tax payers ,-1
dear rss terrorist payal gawar what about modi killing @ plus muslims listen dysfunctional little pest take your pea size brain bleat somewhere else anyone who commits crime criminal irrespective hindumuslim stop giving criminals religious twist,-1
did you cover her interaction forum where she left ,0
there big project came into india modi dream project but not happened reality,0
have you ever listen about like gurukul where discipline are maintained even narendra modi rss only maintaining the culture indian more attack politics but someone attack hinduism rss will take action that proud for ,1
